Land,Jahr,Platzierung,Punkte,Genre,Startposition,Sprache,Heimvorteil
United Kingdom,1962,4,10.0,Ballad,13,English,0
Luxembourg,1962,3,11.0,Schlager,14,French,1
Italy,1962,9,3.0,Schlager,15,Italian,0
Monaco,1962,2,13.0,Schlager,16,French,0
United Kingdom,1963,4,28.0,Ballad,1,English,1
Netherlands,1963,13,0.0,Ballad,2,Dutch,0
Germany,1963,9,5.0,Pop,3,German,0
Austria,1963,7,16.0,Ballad,4,German,0
Norway,1963,13,0.0,Schlager,5,Norwegian,0
Italy,1963,3,37.0,Folk/Ethnic,6,Italian,0
Finland,1963,13,0.0,Pop,7,Finnish,0
Denmark,1963,1,42.0,Schlager,8,Danish,0
Yugoslavia,1963,11,3.0,Pop,9,Serbo-Croatian,0
Switzerland,1963,2,40.0,Schlager,10,Mixed,0
France,1963,5,25.0,Schlager,11,French,0
Spain,1963,12,2.0,Schlager,12,Spanish,0
Sweden,1963,13,0.0,Schlager,13,Swedish,0
Belgium,1963,10,4.0,Schlager,14,Mixed,0
Monaco,1963,5,25.0,Rock,15,French,0
Luxembourg,1963,8,13.0,Schlager,16,French,0
Luxembourg,1964,4,14.0,Schlager,1,French,0
Netherlands,1964,10,2.0,Schlager,2,Dutch,0
Norway,1964,8,6.0,Schlager,3,Norwegian,0
Denmark,1964,9,4.0,Schlager,4,Danish,1
Finland,1964,7,9.0,Schlager,5,Finnish,0
Austria,1964,6,11.0,Schlager,6,German,0
France,1964,4,14.0,Pop,7,French,0
United Kingdom,1964,2,17.0,Ballad,8,English,0
Germany,1964,13,0.0,Schlager,9,German,0
Monaco,1964,3,15.0,Schlager,10,French,0
Portugal,1964,13,0.0,Schlager,11,Portuguese,0
Italy,1964,1,49.0,Schlager,12,Italian,0
Yugoslavia,1964,13,0.0,Schlager,13,Serbo-Croatian,0
Switzerland,1964,13,0.0,Schlager,14,Mixed,0
Belgium,1964,10,2.0,Schlager,15,Mixed,0
Spain,1964,12,1.0,Pop,16,Spanish,0
Netherlands,1965,11,5.0,Schlager,1,Dutch,0
United Kingdom,1965,2,26.0,Ballad,2,English,0
Spain,1965,15,0.0,Schlager,3,Spanish,0
Ireland,1965,6,11.0,Ballad,4,English,0
Germany,1965,15,0.0,Schlager,5,German,0
Austria,1965,4,16.0,Schlager,6,German,0
Norway,1965,13,1.0,Schlager,7,Norwegian,0
Belgium,1965,15,0.0,Schlager,8,Mixed,0
Monaco,1965,9,7.0,Schlager,9,French,0
Sweden,1965,10,6.0,Ballad,10,Swedish,0
France,1965,3,22.0,Schlager,11,French,0
Portugal,1965,13,1.0,Rock,12,Portuguese,0
Italy,1965,5,15.0,Schlager,13,Italian,1
Denmark,1965,7,10.0,Schlager,14,Danish,0
Luxembourg,1965,1,32.0,Schlager,15,French,0
Finland,1965,15,0.0,Pop,16,Finnish,0
Yugoslavia,1965,12,2.0,Pop,17,Serbo-Croatian,0
Switzerland,1965,8,8.0,Schlager,18,Mixed,0
Germany,1966,10,7.0,Schlager,1,German,0
Denmark,1966,14,4.0,Schlager,2,Danish,0
Belgium,1966,4,14.0,Schlager,3,Mixed,0
Luxembourg,1966,10,7.0,Schlager,4,French,1
Yugoslavia,1966,7,9.0,Schlager,5,Serbo-Croatian,0
Norway,1966,3,15.0,Schlager,6,Norwegian,0
Finland,1966,10,7.0,Pop,7,Finnish,0
Portugal,1966,13,6.0,Pop,8,Portuguese,0
Austria,1966,1,31.0,Rock,9,German,0
Sweden,1966,2,16.0,Schlager,10,Swedish,0
Spain,1966,7,9.0,Pop,11,Spanish,0
Switzerland,1966,6,12.0,Schlager,12,Mixed,0
Monaco,1966,17,0.0,Schlager,13,French,0
Italy,1966,17,0.0,Schlager,14,Italian,0
France,1966,16,1.0,Schlager,15,French,0
Netherlands,1966,15,2.0,Pop,16,Dutch,0
Ireland,1966,4,14.0,Rock,17,English,0
United Kingdom,1966,9,8.0,Ballad,18,English,0
Netherlands,1967,14,2.0,Rock,1,Dutch,0
Luxembourg,1967,4,17.0,Schlager,2,French,0
Austria,1967,14,2.0,Schlager,3,German,1
France,1967,3,20.0,Schlager,4,French,0
Portugal,1967,12,3.0,Schlager,5,Portuguese,0
Switzerland,1967,17,0.0,Schlager,6,Mixed,0
Sweden,1967,8,7.0,Schlager,7,Swedish,0
Finland,1967,12,3.0,Schlager,8,Finnish,0
Germany,1967,8,7.0,Rock,9,German,0
Belgium,1967,7,8.0,Pop,10,Mixed,0
United Kingdom,1967,1,47.0,Ballad,11,English,0
Spain,1967,6,9.0,Pop,12,Spanish,0
Norway,1967,14,2.0,Schlager,13,Norwegian,0
Monaco,1967,5,10.0,Schlager,14,French,0
Yugoslavia,1967,8,7.0,Pop,15,Serbo-Croatian,0
Italy,1967,11,4.0,Schlager,16,Italian,0
Ireland,1967,2,22.0,Rock,17,English,0
Portugal,1968,11,5.0,Schlager,1,Portuguese,0
Netherlands,1968,16,1.0,Schlager,2,Dutch,0
Belgium,1968,7,8.0,Pop,3,Mixed,0
Austria,1968,13,2.0,Schlager,4,German,0
Luxembourg,1968,11,5.0,Schlager,5,French,0
Switzerland,1968,13,2.0,Schlager,6,Mixed,0
Monaco,1968,7,8.0,Pop,7,French,0
Sweden,1968,5,15.0,Pop,8,Swedish,0
Finland,1968,16,1.0,Schlager,9,Finnish,0
France,1968,3,20.0,Schlager,10,French,0
Italy,1968,10,7.0,Schlager,11,Italian,0
United Kingdom,1968,2,28.0,Rock,12,English,1
Norway,1968,13,2.0,Schlager,13,Norwegian,0
Ireland,1968,4,18.0,Ballad,14,English,0
Spain,1968,1,29.0,Pop,15,Spanish,0
Germany,1968,6,11.0,Pop,16,German,0
Yugoslavia,1968,7,8.0,Schlager,17,Serbo-Croatian,0
Yugoslavia,1969,13,5.0,Pop,1,Serbo-Croatian,0
Luxembourg,1969,11,7.0,Schlager,2,French,0
Spain,1969,1,18.0,Schlager,3,Spanish,1
Monaco,1969,6,11.0,Schlager,4,French,0
Ireland,1969,7,10.0,Ballad,5,English,0
Italy,1969,13,5.0,Schlager,6,Italian,0
United Kingdom,1969,1,18.0,Pop,7,English,0
Netherlands,1969,1,18.0,Pop,8,Dutch,0
Sweden,1969,9,8.0,Schlager,9,Swedish,0
Belgium,1969,7,10.0,Schlager,10,Mixed,0
Switzerland,1969,5,13.0,Schlager,11,Mixed,0
Norway,1969,16,1.0,Pop,12,Norwegian,0
Germany,1969,9,8.0,Pop,13,German,0
France,1969,1,18.0,Schlager,14,French,0
Portugal,1969,15,4.0,Pop,15,Portuguese,0
Finland,1969,12,6.0,Schlager,16,Finnish,0
Netherlands,1970,7,7.0,Ballad,1,Dutch,1
Switzerland,1970,4,8.0,Pop,2,Mixed,0
Italy,1970,8,5.0,Pop,3,Italian,0
Yugoslavia,1970,11,4.0,Pop,4,Serbo-Croatian,0
Belgium,1970,8,5.0,Pop,5,Mixed,0
France,1970,4,8.0,Pop,6,French,0
United Kingdom,1970,2,26.0,Pop,7,English,0
Luxembourg,1970,12,0.0,Pop,8,French,0
Spain,1970,4,8.0,Pop,9,Spanish,0
Monaco,1970,8,5.0,Ballad,10,French,0
Germany,1970,3,12.0,Pop,11,German,0
Ireland,1970,1,32.0,Pop,12,English,0
Austria,1971,16,66.0,Pop,1,German,0
Malta,1971,18,52.0,Pop,2,English,0
Monaco,1971,1,128.0,Pop,3,French,0
Switzerland,1971,12,78.0,Pop,4,Mixed,0
Germany,1971,3,100.0,Pop,5,German,0
Spain,1971,2,116.0,Pop,6,Spanish,0
France,1971,10,82.0,Pop,7,French,0
Luxembourg,1971,13,70.0,Pop,8,French,0
United Kingdom,1971,4,98.0,Pop,9,English,0
Belgium,1971,14,68.0,Pop,10,Mixed,0
Italy,1971,5,91.0,Pop,11,Italian,0
Sweden,1971,6,85.0,Pop,12,Swedish,0
Ireland,1971,11,79.0,Ballad,13,English,1
Netherlands,1971,6,85.0,Rock,14,Dutch,0
Portugal,1971,9,83.0,Pop,15,Portuguese,0
Yugoslavia,1971,14,68.0,Pop,16,Serbo-Croatian,0
Finland,1971,8,84.0,Pop,17,Finnish,0
Norway,1971,17,65.0,Pop,18,Norwegian,0
Germany,1972,3,107.0,Pop,1,German,0
France,1972,11,81.0,Pop,2,French,0
Ireland,1972,15,72.0,Pop,3,English,0
Spain,1972,10,83.0,Rock,4,Spanish,0
United Kingdom,1972,2,114.0,Ballad,5,English,1
Norway,1972,14,73.0,Pop,6,Norwegian,0
Portugal,1972,7,90.0,Folk/Ethnic,7,Portuguese,0
Switzerland,1972,8,88.0,Pop,8,Mixed,0
Malta,1972,18,48.0,Ballad,9,English,0
Finland,1972,12,78.0,Pop,10,Finnish,0
Austria,1972,5,100.0,Pop,11,German,0
Italy,1972,6,92.0,Pop,12,Italian,0
Yugoslavia,1972,9,87.0,Pop,13,Serbo-Croatian,0
Sweden,1972,13,75.0,Pop,14,Swedish,0
Monaco,1972,16,65.0,Pop,15,French,0
Belgium,1972,17,55.0,Pop,16,Mixed,0
Luxembourg,1972,1,128.0,Pop,17,French,0
Netherlands,1972,4,106.0,Pop,18,Dutch,0
Finland,1973,6,93.0,Pop,1,Finnish,0
Belgium,1973,17,58.0,Pop,2,Mixed,0
Portugal,1973,10,80.0,Rock,3,Portuguese,0
Germany,1973,8,85.0,Pop,4,German,0
Norway,1973,7,89.0,Ballad,5,Norwegian,0
Monaco,1973,8,85.0,Pop,6,French,0
Spain,1973,2,125.0,Rock,7,Spanish,0
Switzerland,1973,12,79.0,Pop,8,Mixed,0
Yugoslavia,1973,15,65.0,Pop,9,Serbo-Croatian,0
Italy,1973,13,74.0,Pop,10,Italian,0
Luxembourg,1973,1,129.0,Pop,11,French,1
Sweden,1973,5,94.0,Ballad,12,Swedish,0
Netherlands,1973,14,69.0,Pop,13,Dutch,0
Ireland,1973,10,80.0,Pop,14,English,0
United Kingdom,1973,3,123.0,Rock,15,English,0
France,1973,15,65.0,Pop,16,French,0
Israel,1973,4,97.0,Pop,17,Hebrew,0
Finland,1974,13,4.0,Ballad,1,Finnish,0
United Kingdom,1974,4,14.0,Rock,2,English,1
Spain,1974,9,10.0,Pop,3,Spanish,0
Norway,1974,14,3.0,Ballad,4,Norwegian,0
Greece,1974,11,7.0,Pop,5,Greek,0
Israel,1974,7,11.0,Pop,6,Hebrew,0
Yugoslavia,1974,12,6.0,Pop,7,Serbo-Croatian,0
Sweden,1974,1,24.0,Pop,8,Swedish,0
Luxembourg,1974,4,14.0,Ballad,9,French,0
Monaco,1974,4,14.0,Pop,10,French,0
Belgium,1974,9,10.0,Pop,11,Mixed,0
Netherlands,1974,3,15.0,Rock,12,Dutch,0
Ireland,1974,7,11.0,Pop,13,English,0
Germany,1974,14,3.0,Pop,14,German,0
Switzerland,1974,14,3.0,Rock,15,Mixed,0
Portugal,1974,14,3.0,Rock,16,Portuguese,0
Italy,1974,2,18.0,Pop,17,Italian,0
Netherlands,1975,1,152.0,Ballad,1,Dutch,0
Ireland,1975,9,68.0,Rock,2,English,0
France,1975,4,91.0,Pop,3,French,0
Germany,1975,17,15.0,Ballad,4,German,0
Luxembourg,1975,5,84.0,Pop,5,French,0
Norway,1975,18,11.0,Ballad,6,Norwegian,0
Switzerland,1975,6,77.0,Pop,7,Mixed,0
Yugoslavia,1975,13,22.0,Pop,8,Serbo-Croatian,0
United Kingdom,1975,2,138.0,Pop,9,English,0
Malta,1975,12,32.0,Dance-Pop,10,English,0
Belgium,1975,15,17.0,Ballad,11,Mixed,0
Israel,1975,11,40.0,Pop,12,Hebrew,0
Turkey,1975,19,3.0,Dance-Pop,13,Turkish,0
Monaco,1975,13,22.0,Pop,14,French,0
Finland,1975,7,74.0,Dance-Pop,15,Finnish,0
Portugal,1975,16,16.0,Pop,16,Portuguese,0
Spain,1975,10,53.0,Rock,17,Spanish,0
Sweden,1975,8,72.0,Rap/Hip-Hop,18,Swedish,1
Italy,1975,3,115.0,Pop,19,Italian,0
United Kingdom,1976,1,164.0,Ballad,1,English,0
Switzerland,1976,4,91.0,Dance-Pop,2,Mixed,0
Germany,1976,15,12.0,Pop,3,German,0
Israel,1976,6,77.0,Pop,4,Hebrew,0
Luxembourg,1976,14,17.0,Rap/Hip-Hop,5,French,0
Belgium,1976,8,68.0,Rap/Hip-Hop,6,Mixed,0
Ireland,1976,10,54.0,Ballad,7,English,0
Netherlands,1976,9,56.0,Dance-Pop,8,Dutch,1
Norway,1976,18,7.0,Dance-Pop,9,Norwegian,0
Greece,1976,13,20.0,Pop,10,Greek,0
Finland,1976,11,44.0,Dance-Pop,11,Finnish,0
Spain,1976,16,11.0,Pop,12,Spanish,0
Italy,1976,7,69.0,Pop,13,Italian,0
Austria,1976,5,80.0,Ballad,14,German,0
Portugal,1976,12,24.0,Rock,15,Portuguese,0
Monaco,1976,3,93.0,Pop,16,French,0
France,1976,2,147.0,Dance-Pop,17,French,0
Yugoslavia,1976,17,10.0,Pop,18,Serbo-Croatian,0
Ireland,1977,3,119.0,Ballad,1,English,0
Monaco,1977,4,96.0,Pop,2,French,0
Netherlands,1977,12,35.0,Dance-Pop,3,Dutch,0
Austria,1977,17,11.0,Rock,4,German,0
Norway,1977,14,18.0,Pop,5,Norwegian,0
Germany,1977,8,55.0,Ballad,6,German,0
Luxembourg,1977,16,17.0,Pop,7,French,0
Portugal,1977,14,18.0,Folk/Ethnic,8,Portuguese,0
United Kingdom,1977,2,121.0,Rock,9,English,1
Greece,1977,5,92.0,Pop,10,Greek,0
Israel,1977,11,49.0,Pop,11,Hebrew,0
Switzerland,1977,6,71.0,Rock,12,Mixed,0
Sweden,1977,18,2.0,Rock,13,Swedish,0
Spain,1977,9,52.0,Dance-Pop,14,Spanish,0
Italy,1977,13,33.0,Pop,15,Italian,0
Finland,1977,10,50.0,Folk/Ethnic,16,Finnish,0
Belgium,1977,7,69.0,Dance-Pop,17,Mixed,0
France,1977,1,136.0,Rock,18,French,0
Ireland,1978,5,86.0,Ballad,1,English,0
Norway,1978,20,0.0,Pop,2,Norwegian,0
Italy,1978,12,53.0,Pop,3,Italian,0
Finland,1978,18,2.0,Pop,4,Finnish,0
Portugal,1978,17,5.0,Pop,5,Portuguese,0
France,1978,3,119.0,Pop,6,French,1
Spain,1978,9,65.0,Pop,7,Spanish,0
United Kingdom,1978,11,61.0,Ballad,8,English,0
Switzerland,1978,9,65.0,Pop,9,Mixed,0
Belgium,1978,2,125.0,Pop,10,Mixed,0
Netherlands,1978,13,37.0,Rock,11,Dutch,0
Turkey,1978,18,2.0,Pop,12,Turkish,0
Germany,1978,6,84.0,Pop,13,German,0
Monaco,1978,4,107.0,Pop,14,French,0
Greece,1978,8,66.0,Pop,15,Greek,0
Denmark,1978,16,13.0,Dance-Pop,16,Danish,0
Luxembourg,1978,7,73.0,Dance-Pop,17,French,0
Israel,1978,1,157.0,Pop,18,Hebrew,0
Austria,1978,15,14.0,Pop,19,German,0
Sweden,1978,14,26.0,Rock,20,Swedish,0
Portugal,1979,9,64.0,Dance-Pop,1,Portuguese,0
Italy,1979,15,27.0,Pop,2,Italian,0
Denmark,1979,6,76.0,Rock,3,Danish,0
Ireland,1979,5,80.0,Ballad,4,English,0
Finland,1979,14,38.0,Pop,5,Finnish,0
Monaco,1979,16,12.0,Rock,6,French,0
Greece,1979,8,69.0,Pop,7,Greek,0
Switzerland,1979,10,60.0,Rock,8,Mixed,0
Germany,1979,4,86.0,Pop,9,German,0
Israel,1979,1,125.0,Pop,10,Hebrew,1
France,1979,3,106.0,Dance-Pop,11,French,0
Belgium,1979,18,5.0,Pop,12,Mixed,0
Luxembourg,1979,13,44.0,Pop,13,French,0
Netherlands,1979,12,51.0,Rock,14,Dutch,0
Sweden,1979,17,8.0,Pop,15,Swedish,0
Norway,1979,11,57.0,Rock,16,Norwegian,0
United Kingdom,1979,7,73.0,Dance-Pop,17,English,0
Austria,1979,18,5.0,Pop,18,German,0
Spain,1979,2,116.0,Dance-Pop,19,Spanish,0
Austria,1980,8,64.0,Pop,1,German,0
Turkey,1980,15,23.0,Pop,2,Turkish,0
Greece,1980,13,30.0,Dance-Pop,3,Greek,0
Luxembourg,1980,9,56.0,Pop,4,French,0
Morocco,1980,18,7.0,Dance-Pop,5,Arabic,0
Italy,1980,6,87.0,Pop,6,Italian,0
Denmark,1980,14,25.0,Pop,7,Danish,0
Sweden,1980,10,47.0,Pop,8,Swedish,0
Switzerland,1980,4,104.0,Pop,9,Mixed,0
Finland,1980,19,6.0,Pop,10,Finnish,0
Norway,1980,16,15.0,Rock,11,Norwegian,0
Germany,1980,2,128.0,Pop,12,German,0
United Kingdom,1980,3,106.0,Rock,13,English,0
Portugal,1980,7,71.0,Ballad,14,Portuguese,0
Netherlands,1980,5,93.0,Pop,15,Dutch,1
France,1980,11,45.0,Pop,16,French,0
Ireland,1980,1,143.0,Ballad,17,English,0
Spain,1980,12,38.0,Pop,18,Spanish,0
Belgium,1980,17,14.0,Pop,19,Mixed,0
Austria,1981,17,20.0,Pop,1,German,0
Turkey,1981,18,9.0,Folk/Ethnic,2,Turkish,0
Germany,1981,2,132.0,Pop,3,German,0
Luxembourg,1981,11,41.0,Rock,4,French,0
Israel,1981,7,56.0,Dance-Pop,5,Hebrew,0
Denmark,1981,11,41.0,Rock,6,Danish,0
Yugoslavia,1981,15,35.0,Pop,7,Serbo-Croatian,0
Finland,1981,16,27.0,Pop,8,Finnish,0
France,1981,3,125.0,Pop,9,French,0
Spain,1981,14,38.0,Pop,10,Spanish,0
Netherlands,1981,9,51.0,Dance-Pop,11,Dutch,0
Ireland,1981,5,105.0,Ballad,12,English,1
Norway,1981,20,0.0,Pop,13,Norwegian,0
United Kingdom,1981,1,136.0,Ballad,14,English,0
Portugal,1981,18,9.0,Pop,15,Portuguese,0
Belgium,1981,13,40.0,Rock,16,Mixed,0
Greece,1981,8,55.0,Pop,17,Greek,0
Cyprus,1981,6,69.0,Pop,18,Greek,0
Switzerland,1981,4,121.0,Pop,19,Mixed,0
Sweden,1981,10,50.0,Pop,20,Swedish,0
Portugal,1982,13,32.0,Dance-Pop,1,Portuguese,0
Luxembourg,1982,6,78.0,Rap/Hip-Hop,2,French,0
Norway,1982,12,40.0,Pop,3,Norwegian,0
United Kingdom,1982,7,76.0,Ballad,4,English,1
Turkey,1982,15,20.0,Pop,5,Turkish,0
Finland,1982,18,0.0,Pop,6,Finnish,0
Switzerland,1982,3,97.0,Pop,7,Mixed,0
Cyprus,1982,5,85.0,Pop,8,Greek,0
Sweden,1982,8,67.0,Pop,9,Swedish,0
Austria,1982,9,57.0,Pop,10,German,0
Belgium,1982,4,96.0,Rap/Hip-Hop,11,Mixed,0
Spain,1982,10,52.0,Pop,12,Spanish,0
Denmark,1982,17,5.0,Pop,13,Danish,0
Yugoslavia,1982,14,21.0,Pop,14,Serbo-Croatian,0
Israel,1982,2,100.0,Dance-Pop,15,Hebrew,0
Netherlands,1982,16,8.0,Dance-Pop,16,Dutch,0
Ireland,1982,11,49.0,Dance-Pop,17,English,0
Germany,1982,1,161.0,Pop,18,German,0
France,1983,8,56.0,Pop,1,French,0
Norway,1983,9,53.0,Pop,2,Norwegian,0
United Kingdom,1983,6,79.0,Rock,3,English,0
Sweden,1983,3,126.0,Pop,4,Swedish,0
Italy,1983,11,41.0,Pop,5,Italian,0
Turkey,1983,19,0.0,Dance-Pop,6,Turkish,0
Spain,1983,19,0.0,Pop,7,Spanish,0
Switzerland,1983,15,28.0,Pop,8,Mixed,0
Finland,1983,11,41.0,Pop,9,Finnish,0
Greece,1983,14,32.0,Pop,10,Greek,0
Netherlands,1983,7,66.0,Folk/Ethnic,11,Dutch,0
Yugoslavia,1983,4,125.0,Pop,12,Serbo-Croatian,0
Cyprus,1983,16,26.0,Rap/Hip-Hop,13,Greek,0
Germany,1983,5,94.0,Rock,14,German,1
Denmark,1983,17,16.0,Pop,15,Danish,0
Israel,1983,2,136.0,Pop,16,Hebrew,0
Portugal,1983,13,33.0,Pop,17,Portuguese,0
Austria,1983,9,53.0,Pop,18,German,0
Belgium,1983,18,13.0,Pop,19,Mixed,0
Luxembourg,1983,1,142.0,Pop,20,French,0
Sweden,1984,1,145.0,Dance-Pop,1,Swedish,0
Luxembourg,1984,10,39.0,Pop,2,French,1
France,1984,8,61.0,Pop,3,French,0
Spain,1984,3,106.0,Pop,4,Spanish,0
Norway,1984,17,29.0,Pop,5,Norwegian,0
United Kingdom,1984,7,63.0,Ballad,6,English,0
Cyprus,1984,15,31.0,Pop,7,Greek,0
Belgium,1984,5,70.0,Pop,8,Mixed,0
Ireland,1984,2,137.0,Ballad,9,English,0
Denmark,1984,4,101.0,Pop,10,Danish,0
Netherlands,1984,13,34.0,Pop,11,Dutch,0
Yugoslavia,1984,18,26.0,Pop,12,Serbo-Croatian,0
Austria,1984,19,5.0,Pop,13,German,0
Germany,1984,13,34.0,Pop,14,German,0
Turkey,1984,12,37.0,Pop,15,Turkish,0
Finland,1984,9,46.0,Pop,16,Finnish,0
Switzerland,1984,16,30.0,Pop,17,Mixed,0
Italy,1984,5,70.0,Rock,18,Italian,0
Portugal,1984,11,38.0,Pop,19,Portuguese,0
Ireland,1985,6,91.0,Ballad,1,English,0
Finland,1985,9,58.0,Pop,2,Finnish,0
Cyprus,1985,16,15.0,Pop,3,Greek,0
Denmark,1985,11,41.0,Rock,4,Danish,0
Spain,1985,14,36.0,Pop,5,Spanish,0
France,1985,10,56.0,Pop,6,French,0
Turkey,1985,14,36.0,Pop,7,Turkish,0
Belgium,1985,19,7.0,Pop,8,Mixed,0
Portugal,1985,18,9.0,Pop,9,Portuguese,0
Germany,1985,2,105.0,Pop,10,German,0
Israel,1985,5,93.0,Pop,11,Hebrew,0
Italy,1985,7,78.0,Pop,12,Italian,0
Norway,1985,1,123.0,Rock,13,Norwegian,0
United Kingdom,1985,4,100.0,Rock,14,English,0
Switzerland,1985,12,39.0,Pop,15,Mixed,0
Sweden,1985,3,103.0,Pop,16,Swedish,1
Austria,1985,8,60.0,Ballad,17,German,0
Luxembourg,1985,13,37.0,Rock,18,French,0
Greece,1985,16,15.0,Pop,19,Greek,0
Luxembourg,1986,3,117.0,Pop,1,French,0
Yugoslavia,1986,11,49.0,Pop,2,Serbo-Croatian,0
France,1986,17,13.0,Pop,3,French,0
Norway,1986,12,44.0,Pop,4,Norwegian,1
United Kingdom,1986,7,72.0,Ballad,5,English,0
Iceland,1986,16,19.0,Pop,6,Icelandic,0
Netherlands,1986,13,40.0,Pop,7,Dutch,0
Turkey,1986,9,53.0,Pop,8,Turkish,0
Spain,1986,10,51.0,Pop,9,Spanish,0
Switzerland,1986,2,140.0,Dance-Pop,10,Mixed,0
Israel,1986,19,7.0,Pop,11,Hebrew,0
Ireland,1986,4,96.0,Ballad,12,English,0
Belgium,1986,1,176.0,Pop,13,Mixed,0
Germany,1986,8,62.0,Pop,14,German,0
Cyprus,1986,20,4.0,Pop,15,Greek,0
Austria,1986,18,12.0,Pop,16,German,0
Sweden,1986,5,78.0,Pop,17,Swedish,0
Denmark,1986,6,77.0,Rock,18,Danish,0
Finland,1986,15,22.0,Pop,19,Finnish,0
Portugal,1986,14,28.0,Pop,20,Portuguese,0
Norway,1987,9,65.0,Pop,1,Norwegian,0
Israel,1987,8,73.0,Pop,2,Hebrew,0
Austria,1987,20,8.0,Pop,3,German,0
Iceland,1987,16,28.0,Pop,4,Icelandic,0
